
======= 标签创意评价总报告 =======
总共评价: 357 份
Legendary: 36 份 (10.1%)
Rare: 71 份 (19.9%)
Common: 250 份 (70.0%)
中位总分: 16
平均总分: 15.8


======= Legendary 传说级标签 (36) =======
1. [20] 社死瞬间 (A3B4C4D4E5)
2. [20] 抽象大师 (A4B3C4D4E5)
3. [19] 小丑竟是我 (A2B4C4D4E5)
4. [19] 摸鱼功德积累器 (A4B3C4D4E4)
5. [18] 讨好型人格 (A2B3C4D4E5)
6. [18] MBTI隐秘人格 (A3B3C3D4E5)
7. [18] 废话接龙锦标赛冠军 (A3B3C4D4E4)
8. [18] 职场必杀技冷却时间 (A3B3C4D4E4)
9. [18] 下班前五分钟相对论 (A3B3C4D4E4)
10. [18] 跟表情包的灵魂契合度 (A3B3C4D4E4)
11. [18] 仓鼠囤粮爱好者 (A3B4C4D4E3)
12. [18] 今日摸鱼运势 (A3B3C4D4E4)
13. [18] 外卖选择困难户 (A3B4C4D4E3)
14. [18] 摸鱼时创造的副业 (A3B3C4D4E4)
15. [18] 职场濒危动物图鉴 (A4B3C4D4E3)
16. [18] 周一早八的怨气 (A4B3C4D4E3)
17. [17.5] 前世的未了微信好友申请 (A2B3C4D4.5E4)
18. [17.5] 工位零食生态学 (A3B3C4D4.5E3)
19. [17.5] 工位零食库管理员 (A3B3C4D4.5E3)
20. [17.5] 用赖床理由推测历史事件 (A3B3C4D4.5E3)
21. [17.5] 暗恋像在玩什么 (A3B3C4D4.5E3)
22. [17] 你的超能力 (A2B3C3D4E5)
23. [17] 证明今天的班白上了 (A3B4C3D4E3)
24. [17] 你的职场功德还剩多少 (A2B2C4D4E5)
25. [17] 你的废话能量等级 (A2B3C4D4E4)
26. [17] 你的摸鱼搭子 (A2B3C4D4E4)
27. [17] 前世是摸鱼达人吗 (A2B3C4D4E4)
28. [17] 寿命计算（离谱版） (A3B4C3D4E3)
29. [17] 新游尝鲜韭菜 (A3B3C3D4E4)
30. [17] 奶茶选糖纠结症 (A2B4C4D4E3)
31. [17] 熬夜冠军守门员 (A2B3C4D4E4)
32. [17] deadline战神 (A3B3C3D4E4)
33. [17] 退货小能手 (A3B4C3D4E3)
34. [17] 朋友群里的备注名 (A3B3C3D4E4)
35. [17] 领带薪拉屎冠军 (A4B3C3D4E3)
36. [17] 摸鱼时长的历史地位 (A3B2C4D4E4)

======= Rare 稀有级标签 (71) =======
1. [17] 职场生存靠什么天赋 (A3B3C4D4E3)
2. [17] 聊天记录考古学家 (A3B3C4D4E3)
3. [17] 职场隐形技能 (A3B4C4D4E2)
4. [17] 人生重启点在哪 (A3B3C4D4E3)
5. [17] 会议中的角色扮演 (A3B3C4D4E3)
6. [17] 周末充电宝 (A3B3C4D4E3)
7. [17] PPT驯兽师 (A3B3C4D4E3)
8. [17] 工位失踪物品图鉴 (A3B3C4D4E3)
9. [17] 职场小强命格 (A3B3C4D4E3)
10. [17] 深夜加班emo等级 (A3B3C4D4E3)
11. [17] 摸鱼时的大脑活动 (A3B3C4D4E3)
12. [17] 把天聊死专业几级 (A3B3C4D4E3)
13. [17] 摸鱼时的手部小动作 (A3B3C4D4E3)
14. [17] 外卖记录反推人生 (A3B3C4D4E3)
15. [17] 社交强制关机时刻 (A3B3C4D4E3)
16. [17] 备忘录里的未发送内容 (A3B3C4D4E3)
17. [17] 工位追星隐蔽者 (A3B3C4D4E3)
18. [17] 朋友圈官宣拖延症 (A3B3C4D4E3)
19. [17] 妈见打型单身贵族 (A3B3C4D4E3)
20. [17] 职场寡王 (A3B3C4D4E3)
21. [17] 道歉型人格 (A3B3C4D4E3)
22. [17] 表情包当饭吃 (A3B3C4D4E3)
23. [17] 取快递伪装大师 (A4B3C3D4E3)
24. [17] 废话文学大师 (A3B2C4D4E4)
25. [17] 海底捞社恐选手 (A3B3C4D4E3)
26. [17] 外卖备注小作文 (A3B3C4D4E3)
27. [17] 相册全是截图 (A3B3C4D4E3)
28. [17] 收藏夹吃灰达人 (A3B3C4D4E3)
29. [17] 灵气值剩余检测 (A4B2C3D4E4)
30. [17] 社交电池10% (A3B2C4D4E4)
31. [17] 开会摸鱼段位鉴定 (A3B3C4D4E3)
32. [17] 凑单小能手 (A3B3C4D4E3)
33. [17] 外卖备注十级学者 (A3B3C4D4E3)
34. [17] 乾隆同款外卖品味 (A3B3C4D4E3)
35. [17] 下班失联专业户 (A3B3C4D4E3)
36. [17] 网购买同款狂魔 (A3B3C4D4E3)
37. [17] 外卖催单大师 (A3B3C4D4E3)
38. [17] 暗恋表达流派 (A3B3C4D4E3)
39. [17] 下班前最后五分钟 (A3B3C4D4E3)
40. [17] 谁在暗恋你 (A3B3C4D4E3)
41. [17] 板砖武器 (A4B2C3D4E4)
42. [17] 摸鱼天花板 (A3B3C4D4E3)
43. [17] 渣男鉴别器 (A3B3C4D4E3)
44. [16.5] 前世是什么 (A2B3C3D4.5E4)
45. [16.5] 你是哪种充电宝 (A2B2C4D4.5E4)
46. [16.5] 你的暗恋像什么地下工作 (A2B3C4D4.5E3)
47. [16.5] 跟历史人物的适配度 (A3B3C3D4.5E3)
48. [16.5] 你眼中的自己 vs 别人眼中的你 (A3B3C3D4.5E3)
49. [16.5] 上辈子是囤货松鼠 (A3B3C3D4.5E3)
50. [16.5] 恋爱像在玩什么游戏 (A2B3C4D4.5E3)
51. [16.5] 给Wi-Fi分配MBTI (A3B3C3D4.5E3)
52. [16.5] 你的表情包灵魂伴侣 (A2B3C4D4.5E3)
53. [16.5] 如果家具会说话 (A3B3C3D4.5E3)
54. [16.5] 用手机电量类比社交能量 (A3B2C4D4.5E3)
55. [16.5] 灵气复苏你在哪一层 (A4B3C3D4.5E2)
56. [16.5] 上辈子是驿站喂马的 (A3B3C4D4.5E2)
57. [16.5] 上辈子存的功德余额 (A4B2C3D4.5E3)
58. [16.5] 灵气复苏后你的本体 (A4B2C3D4.5E3)
59. [16.5] 通过奶茶订单反推人生 (A3B3C4D4.5E2)
60. [16] 猫奴等级测试 (A2B4C3D4E3)
61. [16] 追星梦女等级 (A2B4C3D4E3)
62. [16] 桃花运风水大师 (A2B3C3D4E4)
63. [16] 暧昧期ICU重症 (A2B4C3D4E3)
64. [16] 测测寿命 (A2B2C3D4E5)
65. [16] 恋爱中的离谱角色 (A2B3C4D4E3)
66. [16] 友情里的工具人型号 (A3B2C3D4E4)
67. [16] 互联网考古学家 (A3B3C3D4E3)
68. [16] 恋爱里的阅读理解得分 (A2B3C4D4E3)
69. [16] 摸鱼时在平行世界做什么 (A2B3C4D4E3)
70. [16] 你的爱情兵法 (A2B3C4D4E3)
71. [16] 职场食物链你在哪一层 (A3B3C4D3E3)

======= Common 普通级标签 (前30) =======
1. [16] 从走路姿势看朝代 (A3B3C3D4E3)
2. [16] 未发送消息收藏家 (A3B3C3D4E3)
3. [16] 深夜思想家 (A3B3C3D4E3)
4. [16] 选择性耳聋 (A3B3C3D4E3)
5. [16] 带薪如厕时间管理大师 (A3B3C3D4E3)
6. [16] 内心戏独角戏演员 (A3B3C3D4E3)
7. [16] 咖啡续命鉴定 (A3B2C3D4E4)
8. [16] 加班功德 (A2B3C4D4E3)
9. [16] 周末人格分裂 (A3B3C3D4E3)
10. [16] 你的职场保护色 (A2B3C4D4E3)
11. [16] 你的工作待机模式 (A2B3C4D4E3)
12. [16] 你的职场替身 (A2B3C4D4E3)
13. [16] 你的暗恋属于什么流派 (A2B3C4D4E3)
14. [16] 深夜矫情浓度检测 (A3B3C3D4E3)
15. [16] 床头水杯数量 (A3B3C3D4E3)
16. [16] 未发送的微信消息 (A3B3C3D4E3)
17. [16] 你和最好朋友的相似度 (A3B2C3D4E4)
18. [16] 把天聊死流派 (A3B3C3D4E3)
19. [16] 深夜矫情等级 (A3B3C3D4E3)
20. [16] 没人理解的生活习惯 (A3B3C3D4E3)
21. [16] 给日常物品分配MBTI (A3B3C3D4E3)
22. [16] 证明你和朋友是同一个人 (A3B2C3D4E4)
23. [16] 爱豆同款相似度 (A3B3C3D4E3)
24. [16] 宠物前世身份 (A3B3C3D4E3)
25. [16] 吃货财运关联 (A3B3C3D4E3)
26. [16] 单身等死型恋爱 (A2B3C4D4E3)
27. [16] 宠物争宠大师 (A3B3C3D4E3)
28. [16] 单身冰箱收藏家 (A2B3C4D4E3)
