优先级,序号,条目,说明,状态
P1,1,雷达图动态适配,根据维度数动态生成雷达轴和配色,✅ 已完成
P1,2,mock 换云函数,首页/搜索/答题页数据从 mock 改调云函数,✅ 已完成
P1,#(新),"再来一次"按钮行为修复,结果页点"再来一次"跳到答题页而非回首页,✅ 已完成
P1,3,数据隔离验收,每个用户数据表/接口验证 auth 校验,✅ 已完成
P1.5,4,答题历史,已有页面和云函数（getAnswerHistory）,✅ 已完成
P1.5,5,用户画像,已有页面和云函数（getUserProfile）,✅ 已完成
P1.5,6,收藏星标,已有页面和云函数（toggleFavorite/getFavorites）,✅ 已完成
P1.5,7,点赞,已有页面和云函数（voteTag/getVoteStats/getUserVote）,✅ 已完成
P2,7,主页精选卡片收藏图标无反馈,点星标后状态不刷新需手动刷新,✅ 已完成
P2,#(新),分享卡片,结果页生成分享图片/卡片分享给微信好友,待办
P2,8,搜索页换一换后标签无掉落动画,多次尝试未解决——:key 重建不触发动画,✅ 已完成
P2,9,雷达图数据美化,分数取整/拉开差距/统一偏移,待办
P2,10,选项文本大池,三级池各 16 种组合量 4096 可继续扩充,待办
P2,11,答题过渡动画,按压/切题动效打磨,✅ 已完成
P2,12,首页标签池固定行数,行数固定标签数自适应,✅ 已完成
P2,10,隐藏搜索/答题/结果页顶部导航栏,页面更清爽节省纵向空间,✅ 已完成
P2,13,结果页缺少返回主页按钮,看完结果后无法直接回到首页,✅ 已完成
P1,14,广告生成问卷,搜索无结果触发激励视频广告实时生成,待办
P3,15,热度排行榜,popularity 联动,待办
P3,16,标签稀有度系统,稀有度影响大小/颜色/特效,✅ 已完成
P3,17,Coze 问卷标题前端展示,答题页展示 Coze 生成的 title 字段,✅ 已完成
