来源,标签名,标签描述,状态,备注
批量01_01-40,下辈子投胎去哪,下辈子你想做什么？测测你的投胎方向,可新增,
批量01_01-40,拖延症晚期,你的拖延症已经到了什么程度,可新增,
批量01_01-40,你是哪种小猫,测测你的精神体是哪种小猫咪,可新增,
批量01_01-40,谁在暗恋你,测测谁在偷偷喜欢你,可新增,
批量01_01-40,社死瞬间,你的社死经历有多离谱,可新增,
批量01_01-40,抽象大师,鉴定你是不是抽象派大师,可新增,
批量01_01-40,测测寿命,看看你能活多少岁,可新增,
批量01_01-40,板砖武器,找出属于你的专属物理防身武器,可新增,
批量01_01-40,你的超能力,测测你隐藏的超能力是什么,可新增,
批量01_01-40,前世是什么,测测你的前世是什么身份,可新增,
批量01_01-40,讨好型人格,你是讨好型人格吗？有多严重,可新增,
批量01_01-40,精神状态良好,你的精神状态体检报告,可新增,
批量01_01-40,今天吃什么,帮你终结每天的灵魂拷问,可新增,
批量01_01-40,MBTI隐秘人格,测测你的MBTI隐藏面,可新增,
批量01_01-40,摸鱼天花板,你的摸鱼功力到了什么级别,可新增,
批量01_01-40,渣男鉴别器,测测你识别渣男的能力,可新增,
批量01_01-40,社恐评级,你的社交恐惧到了什么等级,可新增,
批量01_01-40,发疯指数测试,测测你的精神状态有多不稳定,可新增,
批量01_01-40,摆烂大师,你的摆烂功力有多深厚,可新增,
批量01_01-40,戏精体质,你体内住了多少个戏精,可新增,
批量01_01-40,当代年轻人,你是哪一款当代年轻人,可新增,
批量01_01-40,你的精神图腾,你的精神状态对应的动物是什么,可新增,
批量01_01-40,小丑竟是我,测测你的人生小丑指数,可新增,
批量01_01-40,测试你的怨气值,你的怨气值有多高，快来测测,可新增,
批量01_01-40,测试寿命,科学（不严谨）测试你的剩余寿命,可新增,
批量01_01-40,带薪拉屎冠军,每天上班先去厕所蹲二十分钟，刷完朋友圈才慢悠悠出来,近似重复,已有去重版中为"领带薪拉屎冠军"，仅差一字
批量01_01-40,塑料友情防弹级,跟好朋友平时互相损，真出事了比谁都靠谱，砸都砸不烂,近似重复,已有去重版中为"塑料友谊防弹级"，仅差一字
批量01_01-40,确诊为蜗牛,能不出门就不出门，出门要背满家当，有人靠近就缩壳,重复,
批量01_01-40,消息已读不回,看到消息先放放，想着等会回，转头就忘到九霄云外,重复,
批量01_01-40,聚会隐形人,聚餐挑角落坐，拍照往最后排躲，就怕有人突然cue自己,重复,
批量01_01-40,耳机焊在耳朵上,出门必戴耳机，没耳机连买个早餐都觉得浑身不自在,重复,
批量01_01-40,道歉型人格,别人碰了自己都要先说对不起，啥错都先往自己身上揽,重复,
批量01_01-40,线上疯批线下怂,网上打字比谁都快，现实里跟陌生人说话都磕巴,重复,
批量01_01-40,奶茶选糖纠结症,点奶茶选糖度能选三分钟，选完还会后悔是不是选甜了,重复,
批量01_01-40,赖床十级学者,闹钟响了能关八次，不到最后一分钟绝对不起床,重复,
批量01_01-40,表情包当饭吃,聊天先翻表情包库，没有合适的图都不知道怎么回消息,重复,
批量01_01-40,MBTI行走说明书,新认识人先问MBTI，比查星座还熟练，什么类型都能唠两句,重复,
批量01_01-40,取快递伪装大师,下楼取快递要戴帽子戴口罩，就怕碰到半熟的人要打招呼,重复,
批量01_01-40,沙发土豆转世,休息日能在沙发上躺一天，除了上厕所连屁股都不挪一下,重复,
批量01_01-40,废话文学大师,听君一席话如听一席话，张口就是没用的大实话,重复,
批量01_01-40,海底捞社恐选手,去海底捞不敢跟服务员对视，就怕他们过来递毛巾送小礼物,重复,
批量01_01-40,熬夜冠军守门员,每天都发誓要早睡，躺床上刷手机刷到两点还精神,重复,
批量02_41-73,外卖备注小作文,点外卖备注能写三行，多放辣少放葱不要餐具写得清清楚楚,重复,
批量02_41-73,相册全是截图,手机相册一万张图，九千张是聊天记录和表情包截图,重复,
批量02_41-73,外卖永远点同款,找到一家合口味的外卖，能连续点半个月不换样,重复,
