排名,tag,评分等级,A(意外),B(解码),C(共鸣),D(延展),E(传播),总分,备注
1,"前世的未了微信好友申请",史诗,5,5,3,4,4,21,"前世+微信申请跨界绝妙，孟婆汤漏勺太有画面感"
2,"职场濒危动物图鉴",史诗,4,4,4,4,4,20,"濒危动物×职场跨界清奇，每种动物对应特征值而非同类不同品"
3,"你的暗恋像什么过期食品",史诗,5,4,4,4,3,20,"暗恋→过期食品组合清奇绝妙，dim从食品变质展开，整体极佳"
4,"你的大脑是什么存储设备",史诗,4,4,4,4.5,3,19.5,"实体型极佳，存储设备真实品类结果+0.5，dim完美从实体属性展开"
5,"办公室植物生存指南",史诗,4,4,4,4.5,3,19.5,"实体型极佳，真实植物品类结果+0.5，dim精准映射职场生存"
6,"暧昧对象是哪种NPC",史诗,4,4,4,4.5,3,19.5,"实体型，NPC真实类型+0.5，共鸣好"
7,"你的精神宠物是什么",史诗,4,4,4,4.5,3,19.5,"实体型，真实动物品类+0.5，dim从宠物特征精准映射精神人格"
8,"领带薪拉屎冠军",史诗,3,4,4,4,4,19,"带薪拉屎竞技化，dim从行为维度自然展开，共鸣强传播强"
9,"你的职场功德还剩多少",史诗,4,4,4,4,3,19,"功德+职场跨界好，dim从功德体系自然展开，但结果是生造词无实体加分"
10,"前世是什么外卖",史诗,4,4,3,4.5,3,18.5,"实体型，外卖品类真实结果+0.5，dim从外卖系统自然展开"
11,"你是哪种充电宝",史诗,3,4,4,4.5,3,18.5,"实体型，充电宝真实品类结果+0.5，共鸣好"
12,"你是哪种Wi-Fi信号",史诗,3,4,4,4.5,3,18.5,"实体型，WiFi信号真实品类结果+0.5，社交能量映射经典"
13,"用泡面方式鉴定位面之子",史诗,4,4,3,4.5,3,18.5,"实体型，泡面真实状态品类结果+0.5，'位面之子'设定有趣"
14,"前世是什么街头小吃",史诗,4,4,3,4.5,3,18.5,"实体型，真实街头小吃品类结果+0.5，dim从小吃制作展开"
15,"你的爱情像什么BUG",史诗,4,4,3,4.5,3,18.5,"实体型，真实BUG类型结果+0.5，爱情→BUG跨界清奇"
16,"下辈子当什么交通工具",史诗,4,4,3,4.5,3,18.5,"实体型，真实交通工具品类结果+0.5，dim全面展开"
17,"你是哪种待办事项",史诗,4,4,3,4.5,3,18.5,"实体型，待办事项真实状态品类结果+0.5"
18,"你是哪种会议室茶水",史诗,4,4,3,4.5,3,18.5,"实体型，茶水真实品类结果+0.5，源域新鲜"
19,"你的幽默感是什么格式",史诗,4,4,3,4.5,3,18.5,"实体型，文件格式品类结果+0.5，跨界清奇"
20,"你的家庭地位是什么电器",史诗,4,4,3,4.5,3,18.5,"实体型极佳，真实电器品类结果+0.5"
21,"跟历史人物的适配度",史诗,4,4,3,4.5,3,18.5,"实体型，真实历史人物+0.5，结果有趣"
22,"从走路姿势看朝代",史诗,4,4,3,4.5,3,18.5,"实体型，朝代角色品类+0.5，走路×朝代跨界有趣"
23,"上辈子是什么职业（冷门版）",史诗,4,4,3,4.5,3,18.5,"实体型，真实冷门职业品类+0.5"
24,"投胎成什么家用电器",史诗,4,4,3,4.5,3,18.5,"实体型，真实电器品类+0.5"
25,"确诊为蜗牛",史诗,3,4,4,4.5,3,18.5,"实体型极佳，蜗牛物种品类+0.5"
26,"用追剧姿势看职场地位",史诗,4,4,3,4,3,18,"跨界不错，dim从追剧姿势展开映射职场层级"
27,"你的爱情像什么APP",史诗,4,4,3,4,3,18,"APP×爱情跨界好，但结果不全是真实APP品类"
28,"未发送消息收藏家",史诗,3,4,4,4,3,18,"未发送消息有强共鸣，dim展开好"
29,"工位结界",史诗,3,4,4,4,3,18,"结界概念有趣，dim从结界系统展开好"
30,"你的精神离职日期",史诗,3,4,4,4,3,18,"精神离职共鸣极强，dim从离职现象展开好"
31,"加班福报转化率",史诗,3,4,4,4,3,18,"福报梗尖锐讽刺，共鸣强"
32,"对crush的搜索记录",史诗,3,4,4,4,3,18,"搜索crush共鸣极强"
33,"跟历史人物的共同点",史诗,4,4,3,4,3,18,"历史人物特质映射有趣但结果是生造描述型"
34,"社交强制关机时刻",史诗,3,4,4,4,3,18,"社交关机强烈共鸣，dim展开好"
35,"上辈子是驿站喂马的",史诗,4,4,3,4,3,18,"具体的前世设定有趣"
36,"抽卡非酋认证",史诗,3,4,4,4,3,18,"非酋抽卡共鸣好"
37,"吃辣段位测评",史诗,3,4,4,4,3,18,"吃辣共鸣好dim有趣"
38,"单身冰箱收藏家",史诗,3,4,4,4,3,18,"具体细节强烈共鸣"
39,"你的情绪是什么奶茶温度",史诗,3,4,3,4.5,3,17.5,"实体型，奶茶温度甜度真实状态结果+0.5"
40,"下辈子当什么云",史诗,4,3,3,4.5,3,17.5,"实体型，真实云品类结果+0.5，云×人生跨界少见"
41,"确诊为过期罐头",史诗,3,4,3,4.5,3,17.5,"实体型，罐头状态真实品类+0.5，但与#14过期食品区域重叠"
42,"下辈子是什么垃圾",稀有,3,4,3,4.5,3,17.5,"实体型，垃圾分类品类+0.5"
43,"友情里的工具人型号",稀有,3,3,4,4,3,17,"工具人概念有共鸣，dim从工具系统展开结果接近物品品类但不严格"
44,"职场人设崩塌现场",稀有,3,4,4,3,3,17,"人设崩塌话题共鸣好，dim从人设系统展开但结果是生造"
45,"确诊为行走的弹幕",稀有,3,4,3,4,3,17,"弹幕×人格有趣，dim从弹幕系统展开好"
46,"你的大脑是什么搜索引擎",稀有,3,4,3,4,3,17,"大脑→搜索引擎，dim展开好，解码愉悦度高"
47,"你的财运是什么交通方式",稀有,3,4,3,4,3,17,"财运→交通跨界有趣"
48,"你的QQ宠物转世",稀有,3,4,4,3,3,17,"QQ宠物回忆杀强共鸣"
49,"你的大脑是什么垃圾处理器",稀有,3,3,4,4,3,17,"大脑垃圾处理有共鸣，dim展开好"
50,"下班前五分钟相对论",稀有,3,4,4,3,3,17,"下班前五分钟共鸣极强，相对论命名有趣"
51,"床头水杯数量",稀有,3,4,4,3,3,17,"极具体的生活细节，共鸣极强"
52,"未发送的微信消息",稀有,3,4,4,3,3,17,"与#72重叠但更具体"
53,"备忘录里的奇怪清单",稀有,3,4,4,3,3,17,"备忘录清单强烈共鸣"
54,"你的互联网嘴替是谁",稀有,3,4,4,3,3,17,"互联网嘴替共鸣极好"
55,"今天的运势（自己说了算）",稀有,3,4,3,4,3,17,"自定运势有趣"
56,"备忘录里的未发送内容",稀有,3,4,4,3,3,17,"与#72/#126重叠但共鸣好"
57,"你的“算了”能量槽",稀有,3,4,4,3,3,17,""算了"共鸣极强"
