﻿批号,标签名,分类,_status兜底模板,dims数量,qs数量,qs.dim匹配,resultTypes数量,match匹配,硬性校验,概念创意,维度设计,题目质量,结果类型,emoji配色,总分,评级,问题,处理方式
试跑-第1批,塑料友谊防弹级,情感离谱,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,,直接入库
试跑-第1批,领带薪拉屎冠军,职场发疯,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,,直接入库
试跑-第1批,废话大师鉴定,趣味整活,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,,直接入库
试跑-第1批,前世是什么外卖,玄学运势,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,5,4,21,⭐⭐⭐⭐⭐,,直接入库
试跑-第1批,用睡觉姿势推测历史地位,逆天知识,通过,6(正常),18=6×3,2题dim写错静态姿势复杂性应为复杂度,6=6,1处match写错,修正后通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,dims=静态姿势复杂度但2道qs和1处match写成静态姿势复杂性,已手动修正后入库
试跑-第1批,你是哪种充电宝,性格搞怪,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,,直接入库
试跑-第1批,恋爱中的离谱角色,情感离谱,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,,直接入库
试跑-第1批,在同事群聊备注里叫什么,职场发疯,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,,直接入库
试跑-第1批,QQ号转世成什么,玄学运势,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,5,4,4,21,⭐⭐⭐⭐⭐,,直接入库
试跑-第1批,你是哪种Wi-Fi信号,性格搞怪,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,,直接入库
批01_1-40,领带薪拉屎冠军,职场发疯,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,,直接入库
批01_1-40,前世是什么外卖,玄学运势,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,5,4,21,⭐⭐⭐⭐⭐,,直接入库
批01_1-40,证明今天的班白上了,趣味整活,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,,直接入库
