编号,名称,分类,Emoji,描述,原始数据
1,"领带薪拉屎冠军","职场发疯","👑","厕所隔间是工位的延伸，带薪摸鱼的最高境界。","{""name"":""领带薪拉屎冠军"",""category"":""职场发疯"",""emoji"":""👑"",""description"":""厕所隔间是工位的延伸，带薪摸鱼的最高境界。""}"
2,"前世是什么外卖","玄学运势","🍱","上辈子是黄焖鸡还是麻辣烫，决定了你这辈子的性格底色。","{""name"":""前世是什么外卖"",""category"":""玄学运势"",""emoji"":""🍱"",""description"":""上辈子是黄焖鸡还是麻辣烫，决定了你这辈子的性格底色。""}"
3,"在同事群聊备注里叫什么","职场发疯","📱","“那个谁”、“A总”、“发通知的”，还是根本没被备注。","{""name"":""在同事群聊备注里叫什么"",""category"":""职场发疯"",""emoji"":""📱"",""description"":""“那个谁”、“A总”、“发通知的”，还是根本没被备注。""}"
4,"证明今天的班白上了","趣味整活","📄","打开文档，写写删删，最后保存的还是昨天的版本。","{""name"":""证明今天的班白上了"",""category"":""趣味整活"",""emoji"":""📄"",""description"":""打开文档，写写删删，最后保存的还是昨天的版本。""}"
5,"QQ号转世成什么","玄学运势","👻","九位数是古董，十一位数是路人，带太阳的能投个好胎。","{""name"":""QQ号转世成什么"",""category"":""玄学运势"",""emoji"":""👻"",""description"":""九位数是古董，十一位数是路人，带太阳的能投个好胎。""}"
6,"你是哪种充电宝","性格搞怪","🔋","虚电王、慢充佛、还是自带三头线的社交悍匪。","{""name"":""你是哪种充电宝"",""category"":""性格搞怪"",""emoji"":""🔋"",""description"":""虚电王、慢充佛、还是自带三头线的社交悍匪。""}"
7,"废话文学十级学者","趣味整活","🎓","听君一席话，如听一席话，但就是忍不住想听。","{""name"":""废话文学十级学者"",""category"":""趣味整活"",""emoji"":""🎓"",""description"":""听君一席话，如听一席话，但就是忍不住想听。""}"
8,"你是哪种Wi-Fi信号","性格搞怪","📶","满格社牛、时断时续社恐、还是根本搜不到的隐身人。","{""name"":""你是哪种Wi-Fi信号"",""category"":""性格搞怪"",""emoji"":""📶"",""description"":""满格社牛、时断时续社恐、还是根本搜不到的隐身人。""}"
9,"恋爱脑切除手术恢复期","情感离谱","💉","术后仍有幻痛，看到某些关键词还是会手抖。","{""name"":""恋爱脑切除手术恢复期"",""category"":""情感离谱"",""emoji"":""💉"",""description"":""术后仍有幻痛，看到某些关键词还是会手抖。""}"
10,"你的互联网人格","性格搞怪","🌐","朋友圈岁月静好，微博疯狂骂街，豆瓣在标记“已死”。","{""name"":""你的互联网人格"",""category"":""性格搞怪"",""emoji"":""🌐"",""description"":""朋友圈岁月静好，微博疯狂骂街，豆瓣在标记“已死”。""}"
11,"摸鱼时长的历史地位","趣味整活","⏳","从厕所战神到带薪冥想大师，你的摸鱼史可歌可泣。","{""name"":""摸鱼时长的历史地位"",""category"":""趣味整活"",""emoji"":""⏳"",""description"":""从厕所战神到带薪冥想大师，你的摸鱼史可歌可泣。""}"
12,"下辈子投胎成什么APP","玄学运势","📱","是国民级应用，还是那个永远在“优化中”的冷门工具。","{""name"":""下辈子投胎成什么APP"",""category"":""玄学运势"",""emoji"":""📱"",""description"":""是国民级应用，还是那个永远在“优化中”的冷门工具。""}"
13,"职场濒危动物图鉴","职场发疯","🐼","准点下班的独角兽，敢于反驳的喷火龙，还是濒临灭绝的老实人。","{""name"":""职场濒危动物图鉴"",""category"":""职场发疯"",""emoji"":""🐼"",""description"":""准点下班的独角兽，敢于反驳的喷火龙，还是濒临灭绝的老实人。""}"
14,"你的暗恋像什么过期食品","情感离谱","🥫","是罐头，封存得很好但不敢打开；是酸奶，过了保质期还在幻想发酵。","{""name"":""你的暗恋像什么过期食品"",""category"":""情感离谱"",""emoji"":""🥫"",""description"":""是罐头，封存得很好但不敢打开；是酸奶，过了保质期还在幻想发酵。""}"
15,"用泡面方式鉴定位面之子","逆天知识","🍜","开水一冲就熟是天选，煮完还夹生是逆天改命失败。","{""name"":""用泡面方式鉴定位面之子"",""category"":""逆天知识"",""emoji"":""🍜"",""description"":""开水一冲就熟是天选，煮完还夹生是逆天改命失败。""}"
16,"你是哪种天气","性格搞怪","🌦️","晴一阵阴一阵，偶尔打雷不下雨，预报永远不准。","{""name"":""你是哪种天气"",""category"":""性格搞怪"",""emoji"":""🌦️"",""description"":""晴一阵阴一阵，偶尔打雷不下雨，预报永远不准。""}"
17,"废话接龙锦标赛冠军","趣味整活","🏆","能在任何话题上展开三分钟毫无意义的论述。","{""name"":""废话接龙锦标赛冠军"",""category"":""趣味整活"",""emoji"":""🏆"",""description"":""能在任何话题上展开三分钟毫无意义的论述。""}"
18,"你的职场功德还剩多少","职场发疯","🙏","骂完老板扣一点，帮同事背锅加一点，每天都在清零边缘。","{""name"":""你的职场功德还剩多少"",""category"":""职场发疯"",""emoji"":""🙏"",""description"":""骂完老板扣一点，帮同事背锅加一点，每天都在清零边缘。""}"
19,"前世是什么街头小吃","玄学运势","🍡","是糖葫芦，看着红火内心酸；是烤冷面，外表强硬内心软。","{""name"":""前世是什么街头小吃"",""category"":""玄学运势"",""emoji"":""🍡"",""description"":""是糖葫芦，看着红火内心酸；是烤冷面，外表强硬内心软。""}"
20,"友情里的工具人型号","情感离谱","🔧","情绪垃圾桶型、搬家专用型、还是随叫随到陪聊型。","{""name"":""友情里的工具人型号"",""category"":""情感离谱"",""emoji"":""🔧"",""description"":""情绪垃圾桶型、搬家专用型、还是随叫随到陪聊型。""}"
21,"你的大脑是什么存储设备","性格搞怪","💾","256G内存，90%是没用的梗图和吵架时没发挥好的话。","{""name"":""你的大脑是什么存储设备"",""category"":""性格搞怪"",""emoji"":""💾"",""description"":""256G内存，90%是没用的梗图和吵架时没发挥好的话。""}"
22,"用点外卖习惯预测人生","逆天知识","📲","永远点同一家的是守成之君，爱尝鲜的是开拓者，凑满减的是宰相之才。","{""name"":""用点外卖习惯预测人生"",""category"":""逆天知识"",""emoji"":""📲"",""description"":""永远点同一家的是守成之君，爱尝鲜的是开拓者，凑满减的是宰相之才。""}"
23,"办公室植物生存指南","职场发疯","🪴","你是仙人掌（耐旱耐骂），还是绿萝（给点水就能活，但活不好）。","{""name"":""办公室植物生存指南"",""category"":""职场发疯"",""emoji"":""🪴"",""description"":""你是仙人掌（耐旱耐骂），还是绿萝（给点水就能活，但活不好）。""}"
24,"你的爱情像什么BUG","情感离谱","🐛","是偶现难以复现，是严重影响性能，还是根本找不到日志。","{""name"":""你的爱情像什么BUG"",""category"":""情感离谱"",""emoji"":""🐛"",""description"":""是偶现难以复现，是严重影响性能，还是根本找不到日志。""}"
