优先级,模块,测试项,前置条件,测试步骤,预期结果,潜在问题/风险点
P0,全链路-首页加载,首页加载显示正常,启动微信小程序,1.打开app 2.查看品牌区和工具卡片,首页显示"快乐大狐狸"品牌、狐狸动画、至少一张工具卡片,"【风险】HBuilderX缓存导致修改不生效，需删unpackage后重新运行"
P0,全链路-首页加载,工具卡片点击跳转,首页正常显示,1.点击"趣味测试"卡片,跳转到 quiz-home 页,路由参数传递正确
P0,全链路-静默登录,微信小程序静默登录,首次启动/本地token过期,1.首次打开app 2.查看控制台日志,token存在且未过期时静默跳过；否则自动执行uni.login，控制台显示静默注册结果,【风险】静默登录异常时不影响页面展示，但后续收藏/点赞等功能会因未登录而无法使用
P0,全链路-加载性能,首页秒开体验,首次/冷启动,1.首页加载时间 2.查看请求瀑布,首页快速显示骨架或内容，不白屏,云函数冷启动可能导致首次请求延迟
P0,主页-quiz-home,标签池加载,已登录且有网络,1.进入quiz-home页 2.观察"随便逛逛"标签池显示,显示多个标签，标签按稀有度有不同样式（common/rare/epic/darkgold），"【风险】getTagList()返回空（数据库无数据/云函数404）
P0,主页-quiz-home,"随便测测"功能,标签池有数据,1.点击"随便测测"卡片,随机跳转到一个标签的答题页,【风险】allTags为空时函数直接return，无任何提示
P0,主页-quiz-home,换一换功能,标签池已加载,1.点击"换一换"按钮,标签池重新洗牌，🔄图标旋转动画，标签掉落入场重新触发,【已知问题】:key重建不触发CSS animation
P0,主页-quiz-home,精选发疯推荐,云函数有数据,1.查看"精选发疯"区域,显示top3标签，每条含emoji+标签名+描述,精选推荐取自allTags.slice(0,3)，如果数据不足3个会显示较少
P0,主页-quiz-home,精选发疯收藏,已登录,1.点击精选卡片右侧☆按钮,☆变为⭐，再次点击恢复为☆，收藏状态持久化,【风险】toggleFavorite未登录时静默失败（前端不报错，云函数返回AUTH_ERROR）
P0,主页-quiz-home,右上角功能按钮,页面正常,1.点击🥸 2.点击⭐ 3.点击📋,分别跳转到profile、favorites、answer-history页面,导航正常
P0,主页-quiz-home,未登录状态首页显示,未登录,1.清除token后刷新首页,首页正常显示，精选卡片☆可显示但点击可能需先登录,loadFavorites中catch块会清除uni_id_token——如果仅是网络问题就清token过于激进
P0,搜索页-search-page,搜索栏加载,进入搜索页,1.输入关键词（如"社恐"）2.查看搜索结果,输入后300ms防抖，显示匹配的标签列表，每项含emoji+标签名+收藏按钮,按tag.name.includes(kw)匹配，前端拼音不支持
P0,搜索页-search-page,搜索结果收藏,已登录,1.搜索到结果后点击☆按钮,☆变为⭐成功切换,同主页收藏风险
