编号,名称,分类,Emoji,描述,相似组,建议操作
1,塑料友谊防弹级,情感离谱,🛡️,表面笑嘻嘻，内心在算账，但就是吵不散。,G001,
2,领带薪拉屎冠军,职场发疯,👑,厕所隔间是工位的延伸，带薪摸鱼的最高境界。,G002,
3,废话大师鉴定,趣味整活,🗣️,一句话能说完的事，必须铺垫三页。,G003,
4,前世是什么外卖,玄学运势,🍱,上辈子是黄焖鸡还是麻辣烫，决定了你这辈子的性格底色。,G004,
5,用睡觉姿势推测历史地位,逆天知识,🛌,侧躺像谋士，趴着像昏君，四仰八叉是开国皇帝。,G005,
6,在同事群聊备注里叫什么,职场发疯,📱,“那个谁”、“A总”、“发通知的”，还是根本没被备注。,G006,
7,证明今天的班白上了,趣味整活,📄,打开文档，写写删删，最后保存的还是昨天的版本。,G007,
8,恋爱中的离谱角色,情感离谱,🎭,是军师、是侦探、还是永远在等对方下班的保安。,G008,
9,QQ号转世成什么,玄学运势,👻,九位数是古董，十一位数是路人，带太阳的能投个好胎。,G009,
10,你是哪种充电宝,性格搞怪,🔋,虚电王、慢充佛、还是自带三头线的社交悍匪。,,
11,跟历史人物的适配度,逆天知识,👑,你的性格，最适合给哪个皇帝当宰相，或者被哪个奸臣气死。,G010,
12,前世的未了微信好友申请,情感离谱,💬,上辈子没通过的好友，这辈子还在通讯录里躺着。,G011,
13,在同事眼里是什么人设,职场发疯,👤,靠谱的、神秘的、还是那个总在关键时刻掉链子的。,G012,
14,投胎成什么家用电器,玄学运势,🔌,是勤勤恳恳的洗衣机，还是常年吃灰的空气炸锅。,G013,
15,废话文学十级学者,趣味整活,🎓,听君一席话，如听一席话，但就是忍不住想听。,,
16,你是哪种Wi-Fi信号,性格搞怪,📶,满格社牛、时断时续社恐、还是根本搜不到的隐身人。,,
17,用奶茶配料测性格,逆天知识,🧋,珍珠是实在人，椰果是乐天派，奶盖是表面平静内心汹涌。,G014,
18,前世是什么部门什么角色,职场发疯,🏛️,上辈子是御膳房切菜的，还是翰林院写废话文学的。,G004,
19,恋爱脑切除手术恢复期,情感离谱,💉,术后仍有幻痛，看到某些关键词还是会手抖。,G015,
20,你的互联网人格,性格搞怪,🌐,朋友圈岁月静好，微博疯狂骂街，豆瓣在标记“已死”。,G016,
21,摸鱼时长的历史地位,趣味整活,⏳,从厕所战神到带薪冥想大师，你的摸鱼史可歌可泣。,,
22,下辈子投胎成什么APP,玄学运势,📱,是国民级应用，还是那个永远在“优化中”的冷门工具。,,
23,职场濒危动物图鉴,职场发疯,🐼,准点下班的独角兽，敢于反驳的喷火龙，还是濒临灭绝的老实人。,,
24,你的暗恋像什么过期食品,情感离谱,🥫,是罐头，封存得很好但不敢打开；是酸奶，过了保质期还在幻想发酵。,,
25,用泡面方式鉴定位面之子,逆天知识,🍜,开水一冲就熟是天选，煮完还夹生是逆天改命失败。,,
26,你是哪种天气,性格搞怪,🌦️,晴一阵阴一阵，偶尔打雷不下雨，预报永远不准。,,
27,废话接龙锦标赛冠军,趣味整活,🏆,能在任何话题上展开三分钟毫无意义的论述。,,
28,你的职场功德还剩多少,职场发疯,🙏,骂完老板扣一点，帮同事背锅加一点，每天都在清零边缘。,,
29,前世是什么街头小吃,玄学运势,🍡,是糖葫芦，看着红火内心酸；是烤冷面，外表强硬内心软。,,
30,友情里的工具人型号,情感离谱,🔧,情绪垃圾桶型、搬家专用型、还是随叫随到陪聊型。,G017,
31,你的大脑是什么存储设备,性格搞怪,💾,256G内存，90%是没用的梗图和吵架时没发挥好的话。,,
32,用点外卖习惯预测人生,逆天知识,📲,永远点同一家的是守成之君，爱尝鲜的是开拓者，凑满减的是宰相之才。,,
33,办公室植物生存指南,职场发疯,🪴,你是仙人掌（耐旱耐骂），还是绿萝（给点水就能活，但活不好）。,,
34,你的爱情像什么BUG,情感离谱,🐛,是偶现难以复现，是严重影响性能，还是根本找不到日志。,,
35,下辈子当什么交通工具,玄学运势,🚲,是共享单车（谁都能骑），是地铁（永远拥挤但准时），还是直升机（看着厉害但烧钱）。,,
36,你是哪种会议室状态,职场发疯,💺,神游天外型、疯狂记笔记型、还是那个唯一敢问“所以结论是？”的勇士。,G018,
37,互联网考古学家,趣味整活,⛏️,擅长挖掘五年前的段子，并配上“谁懂”重新发布。,,
38,你的情绪是什么奶茶温度,性格搞怪,🌡️,表面去冰，内心滚烫，偶尔全糖偶尔无糖。,,
39,用追剧姿势看职场地位,逆天知识,🛋️,躺着看是老板，坐直了看是中层，跪着看是新人。,,
40,前世是什么无效社交,玄学运势,👥,是点赞之交，是拼多多砍一刀，还是那个“改天请你吃饭”。,,
41,你是哪种待办事项,职场发疯,📋,高亮置顶紧急项、被无限推迟的长期项、还是已完成的但没人知道项。,,
42,恋爱里的阅读理解得分,情感离谱,📖,对方发“哦”，你能写出一篇八千字中心思想解析。,,
43,你的存在感是什么网络信号,性格搞怪,📡,在家人群是2G，在好友群是5G，在公司群是“对方不在服务区”。,,
44,用超市购物车测人生轨迹,趣味整活,🛒,只买必需品是苦行僧，塞满零食是享乐派，推着空车逛三圈是哲学家。,,
45,职场戏精的自我修养,职场发疯,🎬,“我在忙”的演技，决定了你今天能摸多久的鱼。,,
46,你的暗恋进度像什么下载任务,情感离谱,⏬,99%卡住，无法继续，也舍不得取消。,,
47,下辈子当什么云,玄学运势,☁️,是积雨云（爱哭），是卷云（飘忽不定），还是永远被挡住的底层云。,,
48,你是哪种会议室茶水,职场发疯,☕,第一杯被喝光的咖啡，无人问津的凉白开，还是泡到发苦的茶渣。,G018,
49,用手机电量类比社交能量,逆天知识,🔋,出门满电，见一个人掉20%，回家时必开省电模式。,,
50,你的幽默感是什么格式,性格搞怪,😂,是GIF（动图才有效果），是JPG（冷梗图），还是损坏文件（只有自己懂）。,G019,
51,你的精神宠物,趣味整活,🐶,不是猫狗，是脑子里那个24小时不睡觉的玩意儿。,G020,
52,塑料友情防弹级,情感离谱,🛡️,表面笑嘻嘻，背后连你朋友圈都懒得点开。,G001,
53,领带薪拉屎冠军,职场发疯,👑,每天带薪如厕的时间，够看完一部连续剧。,G002,
54,废话大师鉴定,逆天知识,🗣️,你说的话，信息密度比空气还低。,G003,
55,投胎成什么家用电器,玄学运势,🔌,上辈子积的德，这辈子变成冰箱还是电饭煲。,G013,
56,用睡觉姿势推测历史地位,逆天知识,🛌,蜷缩是流民，大字型是帝王，趴着是刺客。,G005,
57,前世是什么部门什么角色,玄学运势,🏛️,上辈子在御膳房偷吃，这辈子在办公室摸鱼。,G004,
58,恋爱中的离谱角色,情感离谱,🎭,不是王子公主，是扫地僧、NPC和那个总迷路的向导。,G008,
59,证明今天的班白上了,职场发疯,📄,忙了一天，最后发现需求取消了。,G007,
60,在同事群聊备注里叫什么,职场发疯,📱,不是本名，是“那个总迟到的”或“PPT战神”。,G006,
61,前世的未了微信好友申请,玄学运势,👻,孟婆汤喝了，但好友验证消息没清空。,G011,
62,QQ号转世成什么,玄学运势,9️⃣,一串数字的轮回，是变成门牌号还是彩票号码。,G009,
63,跟历史人物的适配度,逆天知识,🧑‍🤝‍🧑,你和李白合得来，还是和包拯处得好。,G010,
64,确诊为WiFi信号,性格搞怪,📶,时强时弱，人多就卡，关键时候总掉线。,G021,
65,你的大脑后台程序,趣味整活,💻,80%的内存用来循环播放一段尴尬回忆。,G022,
66,人生加载进度条,玄学运势,⏳,卡在99%的时间，比从0开始还长。,,
